"Chapter_Number","Volume","Name","Romanized_title","Viz_title","Pages","Date","Episodes"
33,"4","The Silent Man","Otonaki Otoko","The Creeping Cat","19","March 23, 1998","1998 Issue "
34,"4","Klahadore the Butler","Shitsuji Kurahadoru","A Humble Servant","19","March 30, 1998","1998 Issue "
35,"4","Neo Hill Road","Neo Sakamichi","The Steep Slope","19","April 6, 1998","1998 Issue "
36,"5","After Them!!","Oe!!","After Them!!","21","April 13, 1998","1998 Issue "
37,"5","The Pirate ""Kuro of a Hundred Plans""","Kaizoku ""Hyakkei no Kuro""","""Captain Kuro, Of The Thousand Plans""","19","April 20, 1998","1998 Issue "
38,"5","Pirate Crew","Kaizokudan","Pirate Crew","20","April 27, 1998","1998 Issue 22-"
39,"5","For Whom the Bell Tolls","Taga Tame ni Kane wa Naru","For Whom the Bell Tolls","19","May 11, 1998","1998 Issue "
40,"5","The Usopp Pirates","Usoppu Kaizokudan","Usopp's Pirate Crew","19","May 18, 1998","1998 Issue "
41,"5","To the Sea","Umi-e","To the Sea","18","May 25, 1998","1998 Issue "
42,"5","Yosaku and Johnny","Yosaku to Joni","Yosaku and Johnny","19","June 1, 1998","1998 Issue "
43,"5","Introducing Sanji","Sanji Tojo","Sanji","19","June 8, 1998","1998 Issue "
44,"5","Three Cooks","Sannin no Kokku","Three Tough Cooks","20","June 15, 1998","1998 Issue "
45,"6","Before the Storm","Arashi Mae","Before the Storm","18","June 22, 1998","1998 Issue "
46,"6","An Uninvited Guest","Manekarezaru Kyaku","An Uninvited Guest","19","June 29, 1998","1998 Issue "
47,"6","Pirate Fleet Admiral ""Don Krieg""","Kaizoku Kantai Teitoku ""Don Kuriku""","The Don's Offer","19","July 6, 1998","1998 Issue "
48,"6","Leave That Path Alone","Sono Koro, Yametoki na","Steer Clear","19","July 13, 1998","1998 Issue "
49,"6","Storm","Arashi","Storm","18","July 18, 1998","1998 Issue "
50,"6","A Parting of Ways","Onoono ga Michi","A Parting of Ways","19","July 27, 1998","1998 Issue "
51,"6","Roronoa Zoro Falls Into the Sea","Roronoa Zoro Umi ni Chiru","Zolo Overboard","19","August 3, 1998","1998 Issue "
52,"6","The Oath","Chikai","The Oath","20","August 10, 1998","1998 Issue 37-"
53,"6","Sabagashira No. 1","Sabagashira Ichi-Go","Mackerel Head","19","August 24, 1998","1998 Issue "
54,"7","Pearl-san","Paru-san","Pearl","19","August 31, 1998","1998 Issue "
55,"7","Jungle Blood","Janguru Buraddo","Jungle Blood","19","September 7, 1998","1998 Issue "
56,"7","I Refuse","Ya na Kotta","I Refuse","20","September 14, 1998","1998 Issue "
57,"7","If You Have a Dream","Yumearu ga Yue","If You Have a Dream","19","September 21, 1998","1998 Issue "
58,"7","Crap-Geezer","Kuso Jiji","Crap-Geezer","19","September 28, 1998","1998 Issue "
59,"7","Obligation","On","Sanji's Debt","19","October 5, 1998","1998 Issue "
60,"7","Propriety","Kejime","Resolution","19","October 12, 1998","1998 Issue "
61,"7","The Demon","Oni","The Demon","20","October 19, 1998","1998 Issue "
62,"7","MH5","Emu-Eichi-Fuaibu","MH5","19","October 26, 1998","1998 Issue "
63,"8","I Won't Die","Shinane yo","I Won't Die","19","November 2, 1998","1998 Issue "
64,"8","The Mighty Battle Spear","Daisenso","The Mighty Battle Spear","17","November 9, 1998","1998 Issue "
65,"8","Prepared","Kakugo","Prepared","19","November 16, 1998","1998 Issue "
66,"8","The Chewed-up Spear","Kami Koroshita Yari","The Chewed-up Spear","19","November 21, 1998","1998 Issue "
67,"8","Soup","Supu","The Soup","19","November 30, 1998","1999 Issue"
68,"8","The Fourth","Yoninme","The Fourth Person","19","December 7, 1998","1999 Issue 2"
69,"8","Arlong Park","Aron Paku","Arlong Park","20","December 19, 1998","1999 Issue 4"
70,"8","The Great Adventure of Usopp the Man","Otoko Usoppu Daiboken","The Great Adventure of Usopp the Man","21","January 4, 1999","1999 Issue"
71,"8","Lords of All Creation","Banbutsu no Reicho","Lords of All Creation","19","January 11, 1999","1999 Issue"
72,"9","Appropriate","Bunsoo","Proper Living","19","January 18, 1999","1999 Issue"
73,"9","Monsters of the Grand Line","""Gurando Rain"" Kara Kita Kaibutsu","Monsters of the Grand Line","19","January 25, 1999","1999 Issue"
74,"9","Business","Bijinesu","Business","19","February 1, 1999","1999 Issue "
75,"9","Of Sea Maps and Fish-Men","Kaizu to Gyojin","Of Maps and Fish-Men","19","February 8, 1999","1999 Issue "
76,"9","Sleep","Neru","Sleep","19","February 15, 1999","1999 Issue "
77,"9","The First Step Toward a Dream","Yume no Ippo","The First Step Toward a Dream","19","February 22, 1999","1999 Issue "
78,"9","Bell-mere-san","Berumeru-san","Belle-Mere","19","March 1, 1999","1999 Issue "
79,"9","To Live","Ikiru","To Live","19","March 8, 1999","1999 Issue "
80,"9","A Crime is a Crime","Tsumi wa Tsumi","A Thief is a Thief","19","March 15, 1999","1999 Issue "
81,"9","Tears","Namida","Tears","19","March 20, 1999","1999 Issue "
82,"10","OK, Let's STAND UP!","Oke, Rettsu, Sutan Dappu!","OK, Let's STAND UP!","19","March 29, 1999","1999 Issue "
83,"10","Luffy in Black","Rufi In Burakku","Luffy in Black","19","April 5, 1999","1999 Issue "
84,"10","Zombie","Zonbi","Zombie","19","April 12, 1999","1999 Issue "
85,"10","Three Sword Style vs. Six Sword Style","Santoryu tai Rokutoryu","Three Swords vs. Six","19","April 19, 1999","1999 Issue "
86,"10","Chivalry vs. Fish-Man Karate","Kishido Basasu Gyojin Karate","Heroism vs. Fish-Man Cruelty","20","April 26, 1999","1999 Issue 22-"
87,"10","It's All Over!!","Owattanda!!","It's All Over!!","19","May 10, 1999","1999 Issue "
88,"10","Die!!!","Shinde!!!","Die!!!","19","May 17, 1999","1999 Issue "
89,"10","Trade-Off","Kotai","Trade-Off","19","May 24, 1999","1999 Issue "
90,"10","What Can You Do?","Nani ga Dekiru","What Can You Do?","19","May 31, 1999","1999 Issue "
91,"11","DARTS","Datsu","DARTS","19","June 7, 1999","1999 Issue "
92,"11","Happiness","Shiawase","Happiness","19","June 14, 1999","1999 Issue "
93,"11","Going Down","Shita e Mairimasu","Going Down","19","June 21, 1999","1999 Issue "
94,"11","The Second","Futarime","The Other Villain","17","June 28, 1999","1999 Issue "
95,"11","Spin, Pinwheel","Maware Kazaguruma","Spin, Pinwheel","19","July 5, 1999","1999 Issue "
96,"11","Greatest Evil of the East","Higashi Ichiban no Waru","The Meanest Man in the East","19","July 12, 1999","1999 Issue "
97,"11","Sandai Kitetsu","Sandai Kitetsu","Kitetsu III","19","July 19, 1999","1999 Issue "
98,"11","Dark Clouds","An'un","Dark Clouds","19","July 26, 1999","1999 Issue "
99,"11","Luffy Died","Rufi ga Shinda","Luffy Died","19","August 2, 1999","1999 Issue "
100,"12","The Legend Has Begun","Densetsu wa Hajimatta","The Legend Begins","24","August 9, 1999","1999 Issue 37-"
101,"12","Reverse Mountain","Rivasu Maunten","Reverse Mountain","19","August 23, 1999","1999 Issue "
102,"12","Now, The Grand Line","Sate, Gurando Rain","Now, The Grand Line","19","August 30, 1999","1999 Issue "
103,"12","The Whale","Kujira","The Whale","20","September 6, 1999","1999 Issue "
104,"12","Cape Promise","Yakusoku no Misaki","Cape Promise","19","September 13, 1999","1999 Issue "
105,"12","Log Pose","Rogu Posu","Log Pose","19","September 20, 1999","1999 Issue "
106,"12","The Town of Welcome","Kangei no Machi","The Town of Welcome","19","September 27, 1999","1999 Issue "
107,"12","Moonlight and Tombstones","Gekko to Bohyo","Moonlight and Tombstones","18","October 4, 1999","1999 Issue "
108,"12","100 Bounty Hunters","Hyakunin no Shokin Kasegi","100 Bounty Hunters","19","October 9, 1999","1999 Issue "
109,"13","Responsibility Problem","Sekinin Mondai","A Question of Duty","19","October 18, 1999","1999 Issue "
110,"13","The Night Isn't Over","Yoru wa Owaranai","The Night Isn't Over","19","October 25, 1999","1999 Issue "
111,"13","The Secret Criminal Organization","Himitsu Hanzai Gaisha","The Secret Criminal Organization","18","November 1, 1999","1999 Issue "
112,"13","Luffy vs. Zoro","Rufi Basasu Zoro","Luffy vs. Zolo","19","November 8, 1999","1999 Issue "
113,"13","It's All Right!!!","Daijobu!!!","It's All Right!!!","19","November 15, 1999","1999 Issue "
114,"13","The Course","Shinro","The Course","19","November 22, 1999","1999 Issue 52-"
115,"13","Little Garden of Adventure","Boken no Ritoru Gaden","Little Garden of Adventure","19","December 6, 1999","2000 Issue"
116,"13","Big","Dekke","Big","19","December 13, 1999","2000 Issue"
117,"13","Dorry and Brogy","Dori to Burogi","Dorry and Broggy","19","December 20, 1999","2000 Issue 3"
118,"14","Someone's Out There","Dareka Iru","Someone's Out There","19","January 3, 2000","2000 Issue 5"
119,"14","Makeshift","Kosoku","Deadly Improvisation","19","January 17, 2000","2000 Issue"
120,"14","The Red Ogre Weeps","Akaoni ga Naita","The Red Ogre Weeps","19","January 24, 2000","2000 Issue"
121,"14","I Knew","Wakatteita","I Knew","19","January 31, 2000","2000 Issue"
122,"14","A Dead Body is Useless","Shinin wa Yaku ni Tatanu","A Dead Body is Useless","19","February 7, 2000","2000 Issue "
123,"14","Luffy vs. Mr. 3","Rufi Basasu Misuta Suri","Luffy vs. Mr. 3","19","February 14, 2000","2000 Issue "
124,"14","The Tea is Good","Ocha ga Ume","The Tea is Good","19","February 21, 2000","2000 Issue "
125,"14","Candle Champion","Kyandoru Chanpion","Candle Champion","19","February 28, 2000","2000 Issue "
126,"14","Instinct","Honno","Instinct","19","March 6, 2000","2000 Issue "
127,"15","Den Den Mushi","Dendenmushi","Snail-o-Phone","19","March 13, 2000","2000 Issue "
128,"15","Pride (Pirate Flag)","Hokori","Pirate Pride","20","March 18, 2000","2000 Issue "
129,"15","Straight Ahead!!!","Massugu!!!","Straight Ahead!!!","21","March 27, 2000","2000 Issue "
130,"15","Maximum Speed","Saiko Sokudo","Maximum Speed","19","April 3, 2000","2000 Issue "
131,"15","Tin Plate Wapol","Buriki no Waporu","Wapol of Tin","19","April 10, 2000","2000 Issue "
132,"15","See?","Ne","See?","19","April 17, 2000","2000 Issue "
133,"15","Adventure in a Nameless Country","Na mo Naki Kuni no Boken","Adventure in a Nameless Country","20","April 24, 2000","2000 Issue 21-"
134,"15","Dr. Kureha","Dokuta Kureha","Dr. Kureha","19","May 8, 2000","2000 Issue "
135,"15","Lapahn","Rapan","Lapins","19","May 15, 2000","2000 Issue "
136,"15","A Man Named Dalton","Doruton to Iu Otoko","A Man Named Dalton","19","May 22, 2000","2000 Issue "
137,"16","Avalanche","Nadare","Avalanche","20","May 29, 2000","2000 Issue "
138,"16","The Summit","Chojo","The Summit","19","June 5, 2000","2000 Issue "
139,"16","Introducing Tony Tony Chopper","Toni Toni Choppa Tojo","Enter Tony Tony Chopper","19","June 12, 2000","2000 Issue "
140,"16","The Castle of Snow","Yuki no Sumu Shiro","The Castle of Snow","19","June 19, 2000","2000 Issue "
141,"16","Quack Doctor","Yabu Isha","Quack Doctor","19","June 26, 2000","2000 Issue "
142,"16","Skull and Sakura","Dokuro to Sakura","Skull and Cherry Blossoms","19","July 3, 2000","2000 Issue "
143,"16","Clumsy","Bukiyo","Clumsy","19","July 10, 2000","2000 Issue "
144,"16","Snowy Tale","Yuki Monogatari","Snowy Tale","19","July 17, 2000","2000 Issue "
145,"16","Inherited Will","Uketsugareru Ishi","Carrying on His Will","19","July 24, 2000","2000 Issue "
146,"17","Battle to Defend the Kingdom","Kokubosen","Battle to Defend the Kingdom","19","July 31, 2000","2000 Issue "
147,"17","Downright Lie","Usoppachi","Frauds","19","August 7, 2000","2000 Issue 36-"
148,"17","Unbreakable","Orenai","Unbreakable","19","August 21, 2000","2000 Issue "
149,"17","RUMBLE!!","Ranburu!!","RUMBLE!!","19","August 28, 2000","2000 Issue "
150,"17","Royal Drum Crown 7-Shot Bliking Cannon","Roiyaru Doramu Kuraun Nana-ren Shotto Burikingu Kyanon","Royal Drum Crown 7-Shot Tin Tyrant Cannon","19","September 4, 2000","2000 Issue "
151,"17","The Skies of Drum","Doramu no Sora","The Skies of Drum","19","September 11, 2000","2000 Issue "
152,"17","Full Moon","Mangetsu","Full Moon","19","September 18, 2000","2000 Issue "
153,"17","Hiriluk's Sakura","Hiruruku no Sakura","Hiriluk's Cherry Blossoms","19","September 25, 2000","2000 Issue "
154,"17","To Arabasta","Arabasuta e","To Alabasta","19","October 2, 2000","2000 Issue "
155,"17","""Pirate"" Sir Crocodile","""Kaizoku"" Sa Kurokodairu","""Pirate"" Sir Crocodile","19","October 7, 2000","2000 Issue "
156,"18","Okama Weather","Okama Biyori","Oh Come My Way Days","19","October 16, 2000","2000 Issue "
157,"18","Introducing Ace","Esu Tojo","Ace Arrives","19","October 23, 2000","2000 Issue "
158,"18","Landing in Arabasta","Joriku no Arabasuta","Landing in Alabasta","19","October 30, 2000","2000 Issue "
159,"18","Come On","Koi yo","Come On","19","November 6, 2000","2000 Issue "
160,"18","Spiders Cafe at 8 O'Clock","Supaidazu Kafe ni Hachi-ji","Spiders Café at Eight O'Clock","19","November 13, 2000","2000 Issue "
161,"18","The Green City Erumalu","Midori no Machi Erumaru","The Green City Erumalu","19","November 20, 2000","2000 Issue "
162,"18","Adventure in the Kingdom of Sand","Suna no Kuni no Boken","Adventure in the Kingdom of Sand","19","November 27, 2000","2000 Issue "
163,"18","Yuba, the Town of Rebels","Hanran-Gun no Machi Yuba","Yuba, the Town of Rebels","19","December 4, 2000","2001 Issue"
164,"18","I Love This Country","Kuni ga Suki","I Love My Country","19","December 11, 2000","2001 Issue"
165,"18","Operation Utopia","Sakusenmei Yutopia","Operation Utopia","18","December 18, 2000","2001 Issue 3"
166,"18","Luffy vs. Vivi","Rufi Basasu Bibi","Luffy vs. Vivi","19","January 4, 2001","2001 Issue 5"
167,"19","Battle Front","Sensen","Battle Front","19","January 15, 2001","2001 Issue"
168,"19","Rainbase, The Town of Dreams","Yume no Machi Reinbesu","Rainbase, The Town of Dreams","19","January 22, 2001","2001 Issue"
169,"19","The Kingdom's Strongest Warrior","Okoku Saikyo no Senshi","The Kingdom's Strongest Warrior","19","January 29, 2001","2001 Issue"
170,"19","It Begins","Hajimaru","Beginning","19","February 5, 2001","2001 Issue "
171,"19","Koza, Leader of the Rebels","Hanran-Gun Rida Koza","Koza, Leader of the Rebels","19","February 10, 2001","2001 Issue "
172,"19","Rebellion","Uneri","Rebellion","19","February 26, 2001","2001 Issue "
173,"19","Bananawani","Bananawani","Bananagator","19","March 5, 2001","2001 Issue "
174,"19","Mr. Prince","Misuta Purinsu","Mr. Prince","19","March 12, 2001","2001 Issue "
175,"19","Release","Kaiho","Release","19","March 19, 2001","2001 Issue "
176,"19","Rush!!","Rasshu!!","Rush","19","March 26, 2001","2001 Issue "
177,"20","30 Million vs. 81 Million","Sanzenman vs Hassenhyakuman","30 Million vs. 81 Million","19","April 2, 2001","2001 Issue "
178,"20","Level G.L.","Reberu Gurandorain","Grand Line Level","19","April 9, 2001","2001 Issue "
179,"20","Showdown at Alubarna","Kessen wa Arubana","Showdown at Alubarna","19","April 16, 2001","2001 Issue "
180,"20","Arabasta Animal Land","Arabasuta Dobutsu Rando","Alabasta Animal Land","19","April 23, 2001","2001 Issue 21-"
181,"20","Super Spot-Billed Duck Quiz","Chokarugamo Kuizu","Super Sonic Duck Quiz","19","May 7, 2001","2001 Issue "
182,"20","Roar","Dogo","Roar","19","May 14, 2001","2001 Issue "
183,"20","Commander Karoo","Karu-Taicho","Squadron Leader Karoo","19","May 21, 2001","2001 Issue "
184,"20","Molehill 4th St.","Mogurazuka Yonban-gai","Moletown Block Four","19","May 28, 2001","2001 Issue "
185,"20","Oh... Is That So?","He So","Oh... Is That So?","19","June 4, 2001","2001 Issue "
186,"20","4","Fo","4","19","June 11, 2001","2001 Issue "
187,"21","Even Match","Gokaku","Stalemate","19","June 18, 2001","2001 Issue "
188,"21","Okama Kenpo","Okama Kenpo","Oh Come My Way Karate","19","June 25, 2001","2001 Issue "
189,"21","2","Tsu","2","19","July 2, 2001","2001 Issue "
190,"21","Clima-Tact","Kurima Takuto","Climate Baton","19","July 9, 2001","2001 Issue "
191,"21","The Woman Who Controls the Weather","Tenko o Ayatsuru Onna","She Who Controls The Weather","19","July 16, 2001","2001 Issue "
192,"21","Whirlwind Warning","Senpu Chui Ho","Tornado Warning","19","July 23, 2001","2001 Issue "
193,"21","Utopia","Risokyo","Utopia","19","July 30, 2001","2001 Issue "
194,"21","Cutting Steel","Tetsu o Kiru","Cutting Steel","18","August 6, 2001","2001 Issue 36-"
195,"21","Mr. Bushido","Misuta Bushido","Mr. Bushido","21","August 20, 2001","2001 Issue "
196,"22","1","Wan","1","19","August 27, 2001","2001 Issue "
197,"22","The Leaders","Tosotsushatachi","The Leaders","19","September 3, 2001","2001 Issue "
198,"22","4:15 PM","Gogo Yo-ji Jugo-fun","4:15 PM","19","September 10, 2001","2001 Issue "
199,"22","Hope!!","Hopu!!","Hope!!","19","September 17, 2001","2001 Issue "
200,"22","Water Luffy","Mizu Rufi","Water Luffy","19","September 22, 2001","2001 Issue "
201,"22","Nico Robin","Niko Robin","Nico Robin","19","October 1, 2001","2001 Issue "
202,"22","The Royal Mausoleum","Oke no Haka","The Royal Mausoleum","19","October 6, 2001","2001 Issue "
203,"22","Crocodile-ish","Wanippoi","Crocodile-ish","19","October 15, 2001","2001 Issue "
204,"22","RED","Reddo","RED","19","October 22, 2001","2001 Issue "
205,"22","The Suna Suna Clan's Secret Base","Suna-Suna-Dan Himitsu Kichi","The Sand-Sand Band's Secret Fort","19","October 29, 2001","2001 Issue "
206,"23","Ignition","Tenka","Ignition","19","November 5, 2001","2001 Issue "
207,"23","Nightmare","Akumu","Nightmare","19","November 12, 2001","2001 Issue "
208,"23","Guardian Spirit","Shugoshin","Guardian Spirit","19","November 19, 2001","2001 Issue "
209,"23","I Will Surpass You","Koete Yuku","I Will Defeat You","21","November 26, 2001","2001 Issue "
210,"23","0","Zero","0","17","December 3, 2001","2002 Issue"
211,"23","King","Ou","King","19","December 10, 2001","2002 Issue"
212,"23","Some Justice","Ikutsuka no Seigi","Some Justice","19","December 17, 2001","2002 Issue"
213,"23","VIP","Bippu","V.I.P.","23","December 28, 2001","2002 Issue 4"
214,"23","Strategy to Escape the Sand Kingdom","Suna no Kuni Dasshutsu Sakusen","Strategy to Escape the Sand Kingdom","19","January 7, 2002","2002 Issue 6"
215,"23","Last waltz","Rasuto Warutsu","Last Waltz","19","January 21, 2002","2002 Issue"
216,"23","Vivi's Adventure","Bibi no Boken","Vivi's Adventure","19","January 28, 2002","2002 Issue"
217,"24","Stowaway","Mikkosha","Stowaway","19","February 4, 2002","2002 Issue "
218,"24","Why the Log Pose is Dome-Shaped","Rogu Posu ga Marui Wake","Why the Log Pose is Dome-Shaped","19","February 18, 2002","2002 Issue "
219,"24","Masira the Salvage King","Sarubeji-O Mashira","Masira the Salvage King","19","February 25, 2002","2002 Issue "
220,"24","A Walk on the Seafloor","Kaitei Sanpo","A Walk on the Seafloor","19","March 4, 2002","2002 Issue "
221,"24","Monsters","Kaibutsu","Monsters","19","March 11, 2002","2002 Issue "
222,"24","Big Time Rookies","Ogata Ruki","The Giant Novice","19","March 18, 2002","2002 Issue "
223,"24","I Promise Never to Fight in This Town","Watakushi wa Kono Machi de wa Kesshite Kenka Shinai to Chikaimasu","I Promise Never to Fight in This Town","19","March 25, 2002","2002 Issue "
224,"24","Do Not Dream","Yume o Miruna","Do Not Dream","19","April 1, 2002","2002 Issue "
225,"24","People's Dreams","Hito no Yume","People's Dreams","19","April 8, 2002","2002 Issue "
226,"24","Shoujou, the Salvage King of the Seafloor","Kaitei Tansaku-O Shojo","Shoujou, the Salvage King of the Seafloor","19","April 15, 2002","2002 Issue "
227,"25","Noland the Liar","Usotsuki Norando","Noland the Liar","19","April 22, 2002","2002 Issue "
228,"25","Mont Blanc Cricket, the Last Boss of the Saruyama Allied Force","'Saruyama Rengo-gun Rasuto Bosu' Monburan Kuriketto","Mont Blanc Cricket, the Last Boss of the Monkey Mountain Allied Force","19","April 27, 2002","2002 Issue 22-"
229,"25","Let's Eat","Meshi o Kuo","Let's Eat","19","May 13, 2002","2002 Issue "
230,"25","Pursue the South Bird!!","Sausu Bado o Oe!!","Pursue the South Bird!","19","May 20, 2002","2002 Issue "
231,"25","Bellamy the Hyena","Haiena no Berami","Bellamy the Hyena","19","May 27, 2002","2002 Issue "
232,"25","The Hundred Million Man","Ichioku no Otoko","The 100 Million Berry Man","19","June 3, 2002","2002 Issue "
233,"25","The World's Greatest Power","Sekai Saiko Kenryoku","The World's Greatest Power","19","June 10, 2002","2002 Issue "
234,"25","Please Remember","Gokioku Kudasaimasu Yo ni","Please Remember","19","June 17, 2002","2002 Issue "
235,"25","Knock Up Stream","Nokku Appu Sutorimu","The Knock Up Stream","19","June 24, 2002","2002 Issue "
236,"25","The Ship Sails to the Sky","Fune wa Sora o Yuku","The Ship Sails to the Sky","19","July 1, 2002","2002 Issue "
237,"26","High in the Sky","Joku nite","High in the Sky","19","July 8, 2002","2002 Issue "
238,"26","Heaven's Gate","Tengoku no Mon","Heaven's Gate","17","July 15, 2002","2002 Issue "
239,"26","Angel Beach","Enjeru Bichi","Angel Beach","17","July 22, 2002","2002 Issue "
240,"26","Dial Energy","Daiaru Enerugi","Dial Power","17","July 29, 2002","2002 Issue "
241,"26","Heaven's Judgment","Ten no Sabaki","Heaven's Judgment","19","August 5, 2002","2002 Issue "
242,"26","Class-2 Criminals","Dai Ni-kyu Hanzaisha","Class-2 Criminals","17","August 12, 2002","2002 Issue 37-"
243,"26","Ordeals","Shiren","Trial","17","August 26, 2002","2002 Issue "
244,"26","SOS","Esu-O-Esu","S.O.S.","19","September 2, 2002","2002 Issue "
245,"26","Adventure on God's Island","Kami no Shima no Boken","Adventure on Kami's Island","17","September 9, 2002","2002 Issue "
246,"26","Satori, Priest of the Wandering Forest","Mayoi no Mori no Shinkan Satori","Satori, Vassal of the Forest of No Return","19","September 14, 2002","2002 Issue "
247,"27","Ordeal of Balls","Tama no Shiren","Ball Challenge","19","September 22, 2002","2002 Issue "
248,"27","Former God vs Priest","Moto Kami-sama Basasu Shinkan","Former Kami vs. Vassal","19","October 7, 2002","2002 Issue "
249,"27","The Village Hidden in the Cloud","Kumogakure no Mura","The Village Hidden in the Cloud","19","October 12, 2002","2002 Issue "
250,"27","Ball Dragon","Dama Doragon","Ball Dragon","19","October 21, 2002","2002 Issue "
251,"27","Overture","Obachua","Overture","19","October 28, 2002","2002 Issue "
252,"27","Junction","Jankushon","Junction","19","November 2, 2002","2002 Issue "
253,"27","Vearth","Vasu","Varse","19","November 11, 2002","2002 Issue "
254,"27","Aubade","Obado","Aubade","19","November 18, 2002","2002 Issue "
255,"27","The Anaconda and the Search Team","Uwabami to Tansaku Chimu","The Anaconda and the Search Team","19","November 25, 2002","2002 Issue "
256,"28","Wyper the Berserker","""Senki"" Waipa","Wyper the Berserker","19","December 2, 2002","2003 Issue"
257,"28","Dial Battle","Daiaru Batoru","Dial Battle","19","December 9, 2002","2003 Issue"
258,"28","The Many Souths","Ironna Minami","The Many Souths","19","December 16, 2002","2003 Issue 3"
259,"28","Pirate Zoro vs. Warrior Braham","Kaizoku Zoro Basasu Senshi Burahamu","Pirate Zolo vs. Warrior Braham","19","December 30, 2002","2003 Issue"
260,"28","Pirate Luffy vs. Berserker Wyper","Kaizoku Rufi Basasu Senki Waipa","Pirate Luffy vs. Berserker Wyper","19","January 6, 2003","2003 Issue 6"
261,"28","Warrior Genbo vs. Divine Soldiers Commander Yama","Senshi Genbo Basasu Shinpeicho Yama","Warrior Genbo vs. Heavenly Warriors Commander Yama","19","January 20, 2003","2003 Issue"
262,"28","Pirate Chopper vs. Priest Gedatsu","Kaizoku Choppa Basasu Shinkan Gedatsu","Pirate Chopper vs. Vassal Gedatsu","19","January 27, 2003","2003 Issue"
263,"28","Pirate Nami and the Weird Knight vs. Divine Soldiers Lieutenants Hotori and Kotori","Kaizoku Nami to Henna Kishi Basasu Fuku Shinpeicho Hotori to Kotori","Pirate Nami and the Weird Knight vs. Heavenly Warriors Subcommanders Hotori and Kotori","19","February 3, 2003","2003 Issue "
264,"28","Warrior Kamakiri vs. God Enel","Senshi Kamakiri Basasu Goddo Eneru","Warrior Kamakiri vs. Kami Eneru","19","February 10, 2003","2003 Issue "
